Category,Location,Keyword,Name,URL
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Sâm Ngọc Linh và K5 coffee,https://www.google.com/maps/place/Ph%E1%BB%9F+S%C3%A2m+Ng%E1%BB%8Dc+Linh+v%C3%A0+K5+coffee/data=!4m7!3m6!1s0x31752f236fb15841:0xf71d3baf05fba0c9!8m2!3d10.7726299!4d106.6989322!16s%2Fg%2F11jt2vjcyf!19sChIJQVixbyMvdTERyaD7Ba87Hfc?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Bò - Chú Thoon,https://www.google.com/maps/place/Ph%E1%BB%9F+B%C3%B2+-+Ch%C3%BA+Thoon/data=!4m7!3m6!1s0x31752f5f81f8a0b5:0xad6f151fed1e2870!8m2!3d10.7887744!4d106.7002626!16s%2Fg%2F11h1r2cstd!19sChIJtaD4gV8vdTERcCge7R8Vb60?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Ông Già Đầu Bạc,https://www.google.com/maps/place/Ph%E1%BB%9F+%C3%94ng+Gi%C3%A0+%C4%90%E1%BA%A7u+B%E1%BA%A1c/data=!4m7!3m6!1s0x3175299462802fd9:0xf60237f52a213883!8m2!3d10.7924212!4d106.6880519!16s%2Fg%2F11rvgypchm!19sChIJ2S-AYpQpdTERgzghKvU3AvY?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh","Quán Miến Phở Gà, Phố Nướng Mai Xuân Cảnh","https://www.google.com/maps/place/Qu%C3%A1n+Mi%E1%BA%BFn+Ph%E1%BB%9F+G%C3%A0,+Ph%E1%BB%91+N%C6%B0%E1%BB%9Bng+Mai+Xu%C3%A2n+C%E1%BA%A3nh/data=!4m7!3m6!1s0x31752f37f930bb13:0xe582e51d0cf9405e!8m2!3d10.779316!4d106.7003984!16s%2Fg%2F11btmrz8zn!19sChIJE7sw-TcvdTERXkD5DB3lguU?authuser=0&hl=en&rclk=1"
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Quán Phở Hải Vân,https://www.google.com/maps/place/Qu%C3%A1n+Ph%E1%BB%9F+H%E1%BA%A3i+V%C3%A2n/data=!4m7!3m6!1s0x31752fb2a4914139:0xa0ba393d947bbca9!8m2!3d10.7608332!4d106.6894666!16s%2Fg%2F11j4kt5whm!19sChIJOUGRpLIvdTERqbx7lD05uqA?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",PHỞ 24 - 9 NGUYỄN VĂN CHIÊM,https://www.google.com/maps/place/PH%E1%BB%9E+24+-+9+NGUY%E1%BB%84N+V%C4%82N+CHI%C3%8AM/data=!4m7!3m6!1s0x31752f364a5c59e3:0x8b0ec329c080f9b6!8m2!3d10.7816777!4d106.6984117!16s%2Fg%2F11g8_460nn!19sChIJ41lcSjYvdTERtvmAwCnDDos?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Bờm,https://www.google.com/maps/place/Ph%E1%BB%9F+B%E1%BB%9Dm/data=!4m7!3m6!1s0x31752f00083fa2fd:0x23041b10d6654d2b!8m2!3d10.7701525!4d106.6884335!16s%2Fg%2F11wbfg9c07!19sChIJ_aI_CAAvdTERK01l1hAbBCM?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Mama Phở,https://www.google.com/maps/place/Mama+Ph%E1%BB%9F/data=!4m7!3m6!1s0x31752f412cd0fe35:0xff48dd10ae62569b!8m2!3d10.7736811!4d106.6982538!16s%2Fg%2F11c1p6919p!19sChIJNf7QLEEvdTERm1ZirhDdSP8?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Thu Hiền,https://www.google.com/maps/place/Ph%E1%BB%9F+Thu+Hi%E1%BB%81n/data=!4m7!3m6!1s0x317528ca540dc137:0xeb7f7e04319b1040!8m2!3d10.792403!4d106.697481!16s%2Fg%2F11c1_vkd6m!19sChIJN8ENVMoodTERQBCbMQR-f-s?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Xe Lửa,https://www.google.com/maps/place/Ph%E1%BB%9F+Xe+L%E1%BB%ADa/data=!4m7!3m6!1s0x31752f376532f3ef:0x4f6d2077023f0f27!8m2!3d10.7791296!4d106.6961587!16s%2Fg%2F11cjj97y9p!19sChIJ7_MyZTcvdTERJw8_AncgbU8?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Bún Phở Hà nội,https://www.google.com/maps/place/B%C3%BAn+Ph%E1%BB%9F+H%C3%A0+n%E1%BB%99i/data=!4m7!3m6!1s0x31752f060faac397:0x5cd5f1f87b2c5123!8m2!3d10.7723349!4d106.6906557!16s%2Fg%2F11fw_2m8_3!19sChIJl8OqDwYvdTERI1Ese_jx1Vw?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",PHỞ 24 - 158D PASTEUR,https://www.google.com/maps/place/PH%E1%BB%9E+24+-+158D+PASTEUR/data=!4m7!3m6!1s0x31752f3648071ad5:0xabb602980edd971d!8m2!3d10.777164!4d106.699656!16s%2Fg%2F11b6dp2qr8!19sChIJ1RoHSDYvdTERHZfdDpgCtqs?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Dũng (hẻm 153 NTMK),https://www.google.com/maps/place/Ph%E1%BB%9F+D%C5%A9ng+%28h%E1%BA%BBm+153+NTMK%29/data=!4m7!3m6!1s0x31752fe32640c7d9:0x4ae1caa9210ed86d!8m2!3d10.770512!4d106.68688!16s%2Fg%2F11h18crsg4!19sChIJ2cdAJuMvdTERbdgOIanK4Uo?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Quan Bui - Original,https://www.google.com/maps/place/Quan+Bui+-+Original/data=!4m7!3m6!1s0x317528d29d23383f:0x985e8a9c4cf4b047!8m2!3d10.7813148!4d106.7058729!16s%2Fg%2F11xcs9x4w!19sChIJPzgjndIodTERR7D0TJyKXpg?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Dậu,https://www.google.com/maps/place/Ph%E1%BB%9F+D%E1%BA%ADu/data=!4m7!3m6!1s0x31752f3c40ff3371:0x75b027bf94446206!8m2!3d10.7898196!4d106.6850666!16s%2Fg%2F11m2w6m2m1!19sChIJcTP_QDwvdTERBmJElL8nsHU?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Ẩm Thực Đường Phố,https://www.google.com/maps/place/%E1%BA%A8m+Th%E1%BB%B1c+%C4%90%C6%B0%E1%BB%9Dng+Ph%E1%BB%91/data=!4m7!3m6!1s0x31752f164bfdbcd3:0x360e0c34df1ed573!8m2!3d10.7659754!4d106.6913078!16s%2Fg%2F11c5ssv4hn!19sChIJ07z9SxYvdTERc9Ue3zQMDjY?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Quán Miến Phở Gà 43,https://www.google.com/maps/place/Qu%C3%A1n+Mi%E1%BA%BFn+Ph%E1%BB%9F+G%C3%A0+43/data=!4m7!3m6!1s0x31752f35c4e30cb1:0x85a361cb2c11eeca!8m2!3d10.7846925!4d106.6981005!16s%2Fg%2F1tjdtdlr!19sChIJsQzjxDUvdTERyu4RLMtho4U?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở SOL - Q4 (Phở & Các Món Ngon Từ Phở),https://www.google.com/maps/place/Ph%E1%BB%9F+SOL+-+Q4+%28Ph%E1%BB%9F+%26+C%C3%A1c+M%C3%B3n+Ngon+T%E1%BB%AB+Ph%E1%BB%9F%29/data=!4m7!3m6!1s0x31752f27dfcab11b:0x93ff4841cf032b50!8m2!3d10.7653152!4d106.7050254!16s%2Fg%2F11hn4rpttd!19sChIJG7HK3ycvdTERUCsDz0FI_5M?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh","Quốc Ký - Phở bò viên, Tái sa tế","https://www.google.com/maps/place/Qu%E1%BB%91c+K%C3%BD+-+Ph%E1%BB%9F+b%C3%B2+vi%C3%AAn,+T%C3%A1i+sa+t%E1%BA%BF/data=!4m7!3m6!1s0x31752f15353e7c5f:0x752e9ebb9fc10588!8m2!3d10.765962!4d106.699839!16s%2Fg%2F11clvjcsrj!19sChIJX3w-NRUvdTERiAXBn7ueLnU?authuser=0&hl=en&rclk=1"
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Hồng,https://www.google.com/maps/place/Ph%E1%BB%9F+H%E1%BB%93ng/data=!4m7!3m6!1s0x31752f8b7f48f83d:0xd4424b061bd7f3f!8m2!3d10.7674682!4d106.6869083!16s%2Fg%2F11j2x9n3v_!19sChIJPfhIf4svdTERP3-9YbAkRA0?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Mong,https://www.google.com/maps/place/Ph%E1%BB%9F+Mong/data=!4m7!3m6!1s0x31752fd764b243c7:0xf51cfd85fdcca59!8m2!3d10.7592985!4d106.69888!16s%2Fg%2F11sgmg2zdd!19sChIJx0OyZNcvdTERWcrcX9jPUQ8?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Pho Le,https://www.google.com/maps/place/Pho+Le/data=!4m7!3m6!1s0x31752efd0082e183:0x5e357ac08bb03907!8m2!3d10.7552959!4d106.6735196!16s%2Fg%2F1tnpbxyd!19sChIJg-GCAP0udTERBzmwi8B6NV4?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Hòa Pasteur,https://www.google.com/maps/place/Ph%E1%BB%9F+H%C3%B2a+Pasteur/data=!4m7!3m6!1s0x31752f26344ef6ef:0xd077b29b97dc202a!8m2!3d10.7866905!4d106.6892627!16s%2Fg%2F11k2fkf4rg!19sChIJ7_ZONCYvdTERKiDcl5uyd9A?authuser=0&hl=en&rclk=1
